split,target,uq_method,model,prefix,n,n_success,auroc,auprc,prr_at_0_5,brier,nll,ece
test,action,perplexity,bayes_state_plus_double,,50,20,0.7783333333333333,0.63582230733946,0.6730677396697136,0.19376109839930222,0.5515326710780732,0.1437786529200698
test,action,perplexity,bayes_state_plus_continuous,,50,20,0.6183333333333333,0.5085045281308493,0.5924592120406483,0.5290320162568442,4.545357869104819,0.542140228003928
test,action,perplexity,bayes_state_plus_tempered,,50,20,0.7083333333333334,0.49904112163549,0.8433060744324216,0.40239601221497073,2.109183034698344,0.46261779479985876
test,action,perplexity,stepwise_bayes_state,,50,20,0.5833333333333334,0.42344051096801316,0.5690732657959413,0.3417785302452435,1.1141715816542834,0.32955334628431754
test,action,perplexity,stepwise_bayes_state_plus_binary,,50,20,0.56,0.420459470560502,0.4347200949691464,0.3506283699135851,1.1345574000934404,0.3644324998749069
test,action,perplexity,stepwise_bayes_state_plus_sep,,50,20,0.595,0.43575730133388324,0.5821661830483496,0.34096470191832223,1.1247855845674792,0.38389435360522317
test,action,perplexity,stepwise_bayes_state_plus_lr_pos,,50,20,0.5666666666666667,0.4224627778855804,0.4681305451716182,0.3457335985551843,1.1435363145647728,0.37550218359121407
test,action,perplexity,stepwise_bayes_state_plus_lr_neg,,50,20,0.4683333333333333,0.36595143608131653,0.21093989700330437,0.3497100455373687,1.1303332373673716,0.32430346566453855
test,action,perplexity,stepwise_bayes_state_plus_double,,50,20,0.49166666666666664,0.38740967864230524,0.22657015019381777,0.35272576317448817,1.1489406369298183,0.3413035753857844
test,action,perplexity,stepwise_bayes_state_plus_continuous,,50,20,0.6066666666666667,0.4932262981208037,0.5080721426649099,0.5415021467818325,4.900753303282725,0.5486717916320927
test,action,perplexity,stepwise_bayes_state_plus_tempered,,50,20,0.6,0.4286172950342758,0.6387292152543512,0.49826202501752265,2.5560369021835863,0.5178811542060306
test,action,sum_logprob,feature_last,,50,20,0.3283333333333333,0.31316487929383974,-0.31132477276878323,0.2402132280066086,0.6687805061770524,0.0756114479562323
test,action,sum_logprob,feature_mean,,50,20,0.37333333333333335,0.33068402116790263,-0.21110202559491376,0.25868374501349717,0.7130277151932551,0.10731381546944269
test,action,sum_logprob,feature_min,,50,20,0.2633333333333333,0.2955096439445965,-0.6245989387540857,0.25285768449655066,0.7008673481780793,0.09611097237436055
test,action,sum_logprob,feature_max,,50,20,0.6416666666666667,0.6619230431960947,0.2393760665923271,0.21519496156075635,0.6227153450784544,0.15127415096334368
test,action,sum_logprob,feature_median,,50,20,0.6933333333333334,0.5855662811799063,0.44421601949793116,0.22302532922930143,0.659710030610594,0.16530554806916653
test,action,sum_logprob,feature_ewma,,50,20,0.5983333333333334,0.4403034326181447,0.424859191656032,0.23433524697671193,0.6545494042462923,0.07457096399439751
test,action,sum_logprob,feature_fraction_uncertain,,50,20,0.6066666666666667,0.5889716304307722,-0.004584991026537687,0.22998691288466183,0.6545035598851272,0.08876241997151936
test,action,sum_logprob,feature_last_k_mean,,50,20,0.425,0.34778263149099636,-0.04609794322077558,0.238927999252138,0.6665011743662527,0.07119331987392503
test,action,sum_logprob,feature_cvar,,50,20,0.3333333333333333,0.31739380693811614,-0.3646433628374266,0.2594346581059015,0.7145550703634949,0.10637553647701921
